Date,ZM,TSLA,rZM,rTSLA
11/13/2019,68.010002,69.222,0.000147077,-0.010976491
11/14/2019,67.739998,69.870003,-0.003977965,0.009317684
11/15/2019,70.010002,70.433998,0.0329613,0.008039657
11/18/2019,70.080002,69.998001,0.000999358,-0.006209388
11/19/2019,69.639999,71.903999,-0.006298375,0.026865198
11/20/2019,70.989998,70.444,0.019199893,-0.020513814
11/21/2019,69.919998,70.966003,-0.015187291,0.007382863
11/22/2019,73.160004,66.608002,0.045297175,-0.063376211
11/25/2019,74.550003,67.267998,0.018821203,0.00985989
11/26/2019,75.160004,65.783997,0.008149146,-0.022308009
11/27/2019,74.080002,66.258003,-0.01447361,0.007179656
11/29/2019,74.5,65.987999,0.005653508,-0.004083365
12/2/2019,68.93,66.973999,-0.077707628,0.014831577
12/3/2019,70.019997,67.239998,0.015689376,0.003963809
12/4/2019,69.959999,66.606003,-0.000857237,-0.00947357
12/5/2019,69.669998,66.073997,-0.004153856,-0.008019428
12/6/2019,62.740002,67.178001,-0.104770546,0.016570547
12/9/2019,65.940002,67.905998,0.049746033,0.010778539
12/10/2019,64.57,69.767998,-0.020995361,0.027051057
12/11/2019,63.52,70.540001,-0.01639509,0.011004516
12/12/2019,62.490002,71.935997,-0.016348241,0.019596854
12/13/2019,63.540001,71.678001,0.016663069,-0.003592913
12/16/2019,66.349998,76.300003,0.043274086,0.062489097
12/17/2019,66.169998,75.797997,-0.002716573,-0.00660111
12/18/2019,67.599998,78.629997,0.021380796,0.0366814
12/19/2019,68.18,80.807999,0.008543313,0.02732269
12/20/2019,66.93,81.117996,-0.01850397,0.003828877
12/23/2019,66.150002,83.844002,-0.011722376,0.033053118
12/24/2019,66.459999,85.050003,0.004675327,0.014281401
12/26/2019,67.449997,86.188004,0.01478629,0.013291649
12/27/2019,66.639999,86.075996,-0.012081555,-0.001300423
12/30/2019,66.790001,82.940002,0.002248401,-0.037113102
12/31/2019,68.040001,83.666,0.018542399,0.008715203
1/2/2020,68.720001,86.052002,0.00994451,0.028119106
1/3/2020,67.279999,88.601997,-0.021177291,0.029202609
1/6/2020,70.32,90.307999,0.044193253,0.019071642
1/7/2020,71.900002,93.811996,0.022220039,0.038066698
1/8/2020,72.550003,98.428001,0.008999728,0.04803259
1/9/2020,72.620003,96.267998,0.000964387,-0.022189379
1/10/2020,73.089996,95.629997,0.006451096,-0.006649401
1/13/2020,74.029999,104.972,0.012778899,0.093207101
1/14/2020,73.160004,107.584,-0.011821525,0.02457829
1/15/2020,76.940002,103.699997,0.050377045,-0.036769851
1/16/2020,76.110001,102.697998,-0.010846248,-0.009709463
1/17/2020,75.559998,102.099998,-0.007252659,-0.005839917
1/21/2020,76.730003,109.440002,0.015365789,0.069423767
1/22/2020,75.540001,113.912003,-0.015630475,0.040049775
1/23/2020,74.470001,114.440002,-0.014265957,0.004624439
1/24/2020,73,112.963997,-0.019936932,-0.012981528
1/27/2020,70.440002,111.603996,-0.035698129,-0.012112302
1/28/2020,71.510002,113.379997,0.015076016,0.015788127
1/29/2020,73.580002,116.197998,0.028535949,0.024550633
1/30/2020,74.540001,128.162003,0.012962631,0.097999497
1/31/2020,76.300003,130.113998,0.02333707,0.015115862
2/3/2020,87.660004,156,0.138792763,0.181445033
2/4/2020,85.790001,177.412003,-0.021563279,0.128618721
2/5/2020,86.989998,146.940002,0.013890685,-0.188450374
2/6/2020,87.260002,149.792007,0.003099044,0.019223358
2/7/2020,88.639999,149.613998,0.015691021,-0.001189081
2/10/2020,89.669998,154.255997,0.011553031,0.03055491
2/11/2020,88.68,154.876007,-0.011101858,0.004011301
2/12/2020,88.279999,153.457993,-0.004520815,-0.009197974
2/13/2020,89.860001,160.800003,0.017739345,0.046734507
2/14/2020,90.949997,160.005997,0.012056957,-0.00495008
2/18/2020,96.389999,171.679993,0.058092579,0.070420942
2/19/2020,103.93,183.483994,0.075315144,0.066495199
2/20/2020,105.290001,179.882004,0.013000862,-0.019826335
2/21/2020,101.760002,180.199997,-0.034101338,0.001766226
2/24/2020,105.010002,166.757996,0.031438484,-0.077523693
2/25/2020,107.080002,159.981995,0.019520635,-0.041482358
2/26/2020,106.879997,155.759995,-0.001869556,-0.026744949
2/27/2020,113.550003,135.800003,0.060536613,-0.137133092
2/28/2020,105,133.598007,-0.078282945,-0.016347894
3/2/2020,113.110001,148.723999,0.074400455,0.107256889
3/3/2020,117.470001,149.102005,0.037822185,0.002538437
3/4/2020,116.800003,149.899994,-0.005719894,0.005337696
3/5/2020,125,144.908005,0.067850641,-0.033869272
3/6/2020,114.32,140.695999,-0.089312204,-0.029497565
3/9/2020,113.75,121.599998,-0.004998476,-0.145864574
3/10/2020,108.489998,129.065994,-0.047345073,0.059586902
3/11/2020,110.300003,126.846001,0.016545969,-0.017350095
3/12/2020,109.470001,112.110001,-0.007553405,-0.123493219
3/13/2020,107.470001,109.323997,-0.0184388,-0.025164618
3/16/2020,107.860001,89.014,0.003622351,-0.205522262
3/17/2020,111.099998,86.040001,0.029596579,-0.033981345
3/18/2020,118.709999,72.244003,0.066252857,-0.174762996
3/19/2020,123.769997,85.528,0.041741445,0.168794488
3/20/2020,130.550003,85.505997,0.053331338,-0.000257294
3/23/2020,159.559998,86.858002,0.200663696,0.01568811
3/24/2020,135.179993,101,-0.165812843,0.150845893
3/25/2020,138.110001,107.849998,0.021443304,0.065620837
3/26/2020,141.149994,105.632004,0.021772636,-0.020779961
3/27/2020,151.699997,102.872002,0.072081754,-0.026475877
3/30/2020,150.880005,100.426003,-0.005420015,-0.024064349
3/31/2020,146.119995,104.800003,-0.032056684,0.042632633
4/1/2020,137,96.311996,-0.064447242,-0.08446092
4/2/2020,121.93,90.893997,-0.116533816,-0.057898921
4/3/2020,128.199997,96.001999,0.050144412,0.054675055
4/6/2020,122.940002,103.248001,-0.041895073,0.072764857
4/7/2020,113.75,109.089996,-0.07769339,0.055039322
4/8/2020,117.809998,109.767998,0.035070082,0.006195836
4/9/2020,124.510002,114.599998,0.05531291,0.043078757
4/13/2020,135.919998,130.190002,0.087680413,0.12754715
4/14/2020,141.889999,141.977997,0.04298564,0.086677158
4/15/2020,151.559998,145.966003,0.06592947,0.027701644
4/16/2020,150.259995,149.042007,-0.008614479,0.020854454
4/17/2020,150.059998,150.778,-0.001331893,0.011580364
4/20/2020,148.990005,149.272003,-0.007155978,-0.010038391
4/21/2020,143.270004,137.343994,-0.039148233,-0.083281481
4/22/2020,150.25,146.421997,0.047569584,0.064004159
4/23/2020,169.089996,141.126007,0.11813052,-0.036839685
4/24/2020,158.800003,145.029999,-0.062785526,0.027287453
4/27/2020,164.600006,159.75,0.035872757,0.096669483
4/28/2020,156.720001,153.824005,-0.049057545,-0.037800969
4/29/2020,146.479996,160.102005,-0.067571907,0.040002019
4/30/2020,135.169998,156.376007,-0.080355642,-0.023547735
5/1/2020,138.559998,140.264008,0.0247702,-0.10873699
5/4/2020,143.440002,152.238007,0.034613413,0.081918714
5/5/2020,144.820007,153.641998,0.009574797,0.009180076
5/6/2020,149.589996,156.516006,0.032406551,0.018533072
5/7/2020,157.800003,156.007996,0.053430236,-0.003251017
5/8/2020,155.399994,163.884003,-0.015326028,0.049251616
5/11/2020,166.479996,162.257996,0.068872759,-0.009971242
5/12/2020,161.039993,161.882004,-0.03322242,-0.002319937
5/13/2020,167.139999,158.192001,0.037179041,-0.023058208
5/14/2020,167.910004,160.666,0.004596367,0.015518185
5/15/2020,174.830002,159.834,0.040385939,-0.005191899
5/18/2020,164.690002,162.725998,-0.059749154,0.017932016
5/19/2020,173.679993,161.602005,0.053149554,-0.006931239
5/20/2020,175.479996,163.112,0.010310568,0.009300528
5/21/2020,172.029999,165.520004,-0.019856179,0.014654976
5/22/2020,171.059998,163.376007,-0.005654514,-0.013037722
5/26/2020,164,163.774002,-0.042147933,0.002433105
5/27/2020,161.970001,164.046005,-0.012455289,0.001659466
5/28/2020,163.550003,161.162003,0.009707633,-0.017736818
5/29/2020,179.479996,167,0.092944986,0.035583724
6/1/2020,204.149994,179.619995,0.12879123,0.072849668
6/2/2020,208.080002,176.311996,0.019067642,-0.01858835
6/3/2020,223.869995,176.591995,0.073142873,0.001586829
6/4/2020,210.350006,172.876007,-0.062292665,-0.021267344
6/5/2020,207.600006,177.132004,-0.013159658,0.024320625
6/8/2020,209.830002,189.983994,0.010684508,0.070044587
6/9/2020,205.429993,188.134003,-0.021192379,-0.009785336
6/10/2020,221.020004,205.009995,0.073147904,0.085904243
6/11/2020,222.070007,194.567993,0.004739466,-0.052277054
6/12/2020,219.520004,187.056,-0.011549316,-0.039373643
6/15/2020,239.020004,198.179993,0.085103884,0.057767636
6/16/2020,242.559998,196.425995,0.014701847,-0.008889929
6/17/2020,236.759995,198.358002,-0.024202146,0.009787744
6/18/2020,241.570007,200.792007,0.020112366,0.012196092
6/19/2020,243.479996,200.179993,0.007875472,-0.003052654
6/22/2020,251.270004,198.863998,0.031493287,-0.006595763
6/23/2020,252.809998,200.356003,0.006110136,0.007474635
6/24/2020,255.899994,192.169998,0.012148509,-0.041715413
6/25/2020,259.51001,197.195999,0.014008556,0.025817766
6/26/2020,256.799988,191.947998,-0.010497751,-0.026973661
6/29/2020,248.559998,201.869995,-0.032613268,0.05039941
6/30/2020,253.539993,215.962006,0.019837317,0.067478593
7/1/2020,259.130005,223.925995,0.021808312,0.036213124
7/2/2020,261.73999,241.731995,0.010021721,0.076514036
7/6/2020,261,274.31601,-0.002831199,0.126451109
7/7/2020,262.100006,277.971985,0.004205726,0.013239572
7/8/2020,266.320007,273.175995,0.015972486,-0.017404077
7/9/2020,269.519989,278.855988,0.011943939,0.020579219
7/10/2020,275.869995,308.929993,0.023287164,0.102419215
7/13/2020,260.299988,299.411987,-0.058094956,-0.031294183
7/14/2020,260.01001,303.359985,-0.001114636,0.013099662
7/15/2020,256.220001,309.201996,-0.014683676,0.019074602
7/16/2020,248.539993,300.127991,-0.030432684,-0.029785752
7/17/2020,246.539993,300.167999,-0.008079546,0.000133294
7/20/2020,268.579987,328.600006,0.085624549,0.090498909
7/21/2020,260.440002,313.671997,-0.030776257,-0.046493379
7/22/2020,261.179993,318.466003,0.002837282,0.015167884
7/23/2020,251.5,302.614014,-0.037766808,-0.051057616
7/24/2020,246.559998,283.399994,-0.019837626,-0.065598806
7/27/2020,252.330002,307.920013,0.023132399,0.082980745
7/28/2020,252.179993,295.298004,-0.000594672,-0.041855022
7/29/2020,252.389999,299.821991,0.000832416,0.015203906
7/30/2020,250,297.497986,-0.009514588,-0.00778148
7/31/2020,253.910004,286.152008,0.015518971,-0.038884289
8/3/2020,268,297,0.054007091,0.037208973
8/4/2020,267.339996,297.399994,-0.002465739,0.001345875
8/5/2020,272.899994,297.003998,0.020584164,-0.001332414
8/6/2020,268.25,297.915985,-0.017186024,0.003065917
8/7/2020,258.730011,290.541992,-0.036134292,-0.025063401
8/10/2020,250,283.713989,-0.034324172,-0.023781467
8/11/2020,231.039993,274.877991,-0.078870092,-0.03163932
8/12/2020,236.720001,310.951996,0.024287187,0.123311216
8/13/2020,247.25,324.200012,0.043521958,0.0417221
8/14/2020,244.910004,330.141998,-0.009509158,0.018162213
8/17/2020,266.149994,367.127991,0.083169225,0.106187678
8/18/2020,276.799988,377.417999,0.039235143,0.027642787
8/19/2020,273.51001,375.705994,-0.01195696,-0.004546417
8/20/2020,290.690002,400.365997,0.060919193,0.063572215
8/21/2020,289.679993,409.996002,-0.003480573,0.023768287
8/24/2020,282.279999,402.839996,-0.025877359,-0.017607958
8/25/2020,290.440002,404.667999,0.028497539,0.004527525
8/26/2020,295.269989,430.634003,0.016493133,0.062191573
8/27/2020,294.679993,447.75,-0.002000157,0.038976493
8/28/2020,299.269989,442.679993,0.015456141,-0.011387895
8/31/2020,325.100006,498.320007,0.082786707,0.118395309
9/1/2020,457.690002,475.049988,0.342059258,-0.047822419
9/2/2020,423.559998,447.369995,-0.077496928,-0.060034055
9/3/2020,381.320007,407,-0.10505624,-0.094572796
9/4/2020,369.890015,418.320007,-0.030433231,0.027433521
9/8/2020,350.880005,330.209991,-0.052761406,-0.236517918
9/9/2020,389.649994,366.279999,0.104804586,0.103669277
9/10/2020,384.480011,371.339996,-0.013357084,0.013720009
9/11/2020,383,372.720001,-0.003856811,0.003709396
9/14/2020,403.51001,419.619995,0.052166306,0.118522058
9/15/2020,410.940002,449.76001,0.018245928,0.069364601
9/16/2020,408.170013,441.76001,-0.006763437,-0.017947359
